TipoPedido,CodControle,Fornecedor,OrgCompras,GrpCompradores,Empresa,Artigo,Quantidade,UnidadeCompra,Centro,Dep,DataRemessa,Moeda
ZPC9,T,CA01,3300,500,3300,25551,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31749,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31514,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22160,2,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30506,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31088,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,28724,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34246,9,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31250,6,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30886,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32303,3,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32302,3,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32301,4,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32300,5,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,27620,3,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,23388,2,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,23389,4,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,23390,2,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,23393,2,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,14453,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29774,3,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31195,3,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31835,3,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30967,3,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,34224,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30969,2,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,30085,60,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32540,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32542,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,32548,1,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29579,1,PAL,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29214,1,PAL,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,29681,48,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31711,3,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31710,3,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,22838,30,CX,A100,DL01,31.07.2023,AOA
ZPC9,T,CA01,3300,500,3300,31875,8,CX,A100,DL01,31.07.2023,AOA
